unique.species,Group,Br_MCR,NB_MCR,common,ccs.max
graspa,18_122,18,122,Grasshopper Sparrow,12
graspa,11_143,11,143,Grasshopper Sparrow,12
graspa,18_144,18,144,Grasshopper Sparrow,12
graspa,18_134,18,134,Grasshopper Sparrow,12
graspa,13_122,13,122,Grasshopper Sparrow,12
graspa,22_20,22,20,Grasshopper Sparrow,12
graspa,22_122,22,122,Grasshopper Sparrow,12
graspa,28_24,28,24,Grasshopper Sparrow,12
graspa,18_24,18,24,Grasshopper Sparrow,12
graspa,22_143,22,143,Grasshopper Sparrow,12
graspa,13_24,13,24,Grasshopper Sparrow,12
graspa,11_33,11,33,Grasshopper Sparrow,12
graspa,18_31,18,31,Grasshopper Sparrow,12
graspa,11_24,11,24,Grasshopper Sparrow,12
graspa,11_134,11,134,Grasshopper Sparrow,12
graspa,11_144,11,144,Grasshopper Sparrow,12
graspa,22_33,22,33,Grasshopper Sparrow,12
graspa,13_144,13,144,Grasshopper Sparrow,12
graspa,13_143,13,143,Grasshopper Sparrow,12
graspa,22_134,22,134,Grasshopper Sparrow,12
graspa,18_20,18,20,Grasshopper Sparrow,12
graspa,28_20,28,20,Grasshopper Sparrow,12
graspa,22_24,22,24,Grasshopper Sparrow,12
graspa,28_134,28,134,Grasshopper Sparrow,12
graspa,24_24,24,24,Grasshopper Sparrow,12
graspa,24_144,24,144,Grasshopper Sparrow,12
graspa,11_122,11,122,Grasshopper Sparrow,12
graspa,28_31,28,31,Grasshopper Sparrow,12
graspa,24_122,24,122,Grasshopper Sparrow,12
graspa,28_144,28,144,Grasshopper Sparrow,12
graspa,11_20,11,20,Grasshopper Sparrow,12
graspa,13_20,13,20,Grasshopper Sparrow,12
graspa,22_31,22,31,Grasshopper Sparrow,12
graspa,18_33,18,33,Grasshopper Sparrow,12
graspa,24_20,24,20,Grasshopper Sparrow,12
graspa,28_122,28,122,Grasshopper Sparrow,12
graspa,13_31,13,31,Grasshopper Sparrow,12
graspa,28_143,28,143,Grasshopper Sparrow,12
graspa,24_33,24,33,Grasshopper Sparrow,12
ovenbi1,11_162,11,162,Ovenbird,9
ovenbi1,13_156,13,156,Ovenbird,9
ovenbi1,6_152,6,152,Ovenbird,9
ovenbi1,6_135,6,135,Ovenbird,9
ovenbi1,13_151,13,151,Ovenbird,9
ovenbi1,24_24,24,24,Ovenbird,9
ovenbi1,6_162,6,162,Ovenbird,9
ovenbi1,11_142,11,142,Ovenbird,9
ovenbi1,13_136,13,136,Ovenbird,9
ovenbi1,6_136,6,136,Ovenbird,9
ovenbi1,6_157,6,157,Ovenbird,9
ovenbi1,28_151,28,151,Ovenbird,9
ovenbi1,13_152,13,152,Ovenbird,9
ovenbi1,28_162,28,162,Ovenbird,9
ovenbi1,7_135,7,135,Ovenbird,9
ovenbi1,14_142,14,142,Ovenbird,9
ovenbi1,7_142,7,142,Ovenbird,9
ovenbi1,24_151,24,151,Ovenbird,9
ovenbi1,24_152,24,152,Ovenbird,9
ovenbi1,8_31,8,31,Ovenbird,9
ovenbi1,11_157,11,157,Ovenbird,9
ovenbi1,28_152,28,152,Ovenbird,9
ovenbi1,11_152,11,152,Ovenbird,9
ovenbi1,14_156,14,156,Ovenbird,9
ovenbi1,11_31,11,31,Ovenbird,9
ovenbi1,14_136,14,136,Ovenbird,9
ovenbi1,28_142,28,142,Ovenbird,9
ovenbi1,13_31,13,31,Ovenbird,9
ovenbi1,24_142,24,142,Ovenbird,9
ovenbi1,6_156,6,156,Ovenbird,9
ovenbi1,24_136,24,136,Ovenbird,9
ovenbi1,8_24,8,24,Ovenbird,9
