Group,Br_MCR,NB_MCR,Exposure,Low80CI.WeightMean,Up80CI.WeightMean,Low95CI.WeightMean,Up95CI.WeightMean
14_161,14,161,0.301061565,-0.004948071,0.602734844,-0.157180494,0.779139262
14_162,14,162,0.148513042,0.086313427,0.214499721,0.050389441,0.246701621
14_171,14,171,0.111227343,0.095683306,0.12625306,0.087729001,0.134492218
14_173,14,173,0.03814379,0.013991791,0.062336552,-0.010535774,0.089900893
14_184,14,184,0.077749131,0.052310732,0.103363459,0.039323069,0.117128797
14_191,14,191,0.067794005,0.03152628,0.103864688,0.012205814,0.122851707
14_192,14,192,0.067719092,0.031758279,0.10484954,0.011353737,0.122931027
14_201,14,201,0.125298704,0.096937231,0.15374618,0.07935541,0.170801738
14_202,14,202,0.032898886,0.012283817,0.052756117,-0.000951302,0.067323543
14_203,14,203,0.063220885,0.033317667,0.092652688,0.014833481,0.109271889
14_204,14,204,0.122401123,0.101125297,0.143379565,0.091242125,0.154555594
14_205,14,205,0.055004689,0.026762104,0.082945483,0.012891645,0.098449795
14_211,14,211,0.122017399,NA,NA,NA,NA
14_212,14,212,0.11397283,0.009188161,0.221112286,-0.046141813,0.283146673
14_214,14,214,0.156201676,0.024282585,0.286385504,-0.051904162,0.35241078
14_221,14,221,0.075682086,0.040091397,0.110930388,0.020404638,0.130856401
14_222,14,222,0.291652332,NA,NA,NA,NA
14_231,14,231,0.077745484,0.040593335,0.114066695,0.0209873,0.134511329
14_232,14,232,0.099101934,0.03948618,0.15636785,0.007951544,0.185561932
14_241,14,241,0.069567176,NA,NA,NA,NA
14_242,14,242,0.069574377,NA,NA,NA,NA
15_5,15,5,0.03414039,0.022581578,0.045216552,0.016653941,0.05066714
15_9,15,9,0.044268909,0.033188871,0.055086665,0.027393885,0.061074012
15_10,15,10,0.063272293,0.037200958,0.089895534,0.023696624,0.103238756
15_11,15,11,0.064339632,0.041408342,0.088188212,0.028122986,0.100059586
15_13,15,13,0.029756966,0.018038232,0.041554964,0.011613338,0.047986028
15_14,15,14,0.02827953,0.01856676,0.037699088,0.013628307,0.042752939
15_15,15,15,0.274299316,0.221283971,0.32535644,0.192498622,0.352886627
15_16,15,16,0.084018434,0.061889898,0.106346352,0.049450687,0.120152115
15_18,15,18,0.050122378,0.03734212,0.062490335,0.030653136,0.068815012
15_20,15,20,0.0327626,0.025337746,0.040391239,0.021396099,0.044496433
15_22,15,22,0.020922977,0.013157495,0.029116568,0.00906087,0.033457575
15_24,15,24,0.030885492,0.022103851,0.039698207,0.017776862,0.044691304
15_28,15,28,0.026923861,0.018096487,0.036206562,0.013643169,0.041089795
15_31,15,31,0.023039805,0.01535119,0.030340581,0.011476417,0.034156995
15_33,15,33,0.060079204,0.05318866,0.066766349,0.049670312,0.070620576
15_122,15,122,0.069275982,0.050791186,0.087687504,0.041059181,0.097638946
15_134,15,134,0.081689168,0.064847957,0.098464609,0.055952504,0.10762079
15_135,15,135,0.086129077,NA,NA,NA,NA
15_136,15,136,0.087140592,NA,NA,NA,NA
15_141,15,141,0.05613681,0.01949625,0.09332116,-0.000371628,0.11250547
15_142,15,142,0.050811912,NA,NA,NA,NA
15_143,15,143,0.074801046,0.062222955,0.0866987,0.055422699,0.093262617
15_145,15,145,0.103787757,0.075150919,0.133400164,0.060181252,0.149734612
15_151,15,151,0.053784603,0.035312506,0.072670026,0.025001946,0.082734422
15_152,15,152,0.085617901,0.037452072,0.134969922,0.01166888,0.159781524
15_155,15,155,0.086485294,0.055363379,0.11840268,0.037737979,0.134856028
15_156,15,156,0.094956418,0.064176414,0.126535358,0.047799797,0.141625945
15_157,15,157,0.084588762,0.055343103,0.113870501,0.039747935,0.128491576
15_162,15,162,0.053929024,0.037943722,0.069976363,0.030127656,0.079020404
15_171,15,171,0.027036686,0.012481344,0.040928354,0.00518005,0.049060287
15_173,15,173,0.049690693,0.019973547,0.080249012,0.003333718,0.095659424
15_181,15,181,0.055054893,0.027801491,0.082341564,0.012296471,0.096654359
15_182,15,182,0.08057415,NA,NA,NA,NA
15_183,15,183,0.086773436,NA,NA,NA,NA
15_184,15,184,0.051645375,0.017813626,0.086133518,-0.001211473,0.107141668
15_191,15,191,0.079986211,NA,NA,NA,NA
15_192,15,192,0.066227887,NA,NA,NA,NA
15_201,15,201,0.054467313,0.031157254,0.078175064,0.017484357,0.090050519
15_202,15,202,0.051676888,0.024376471,0.078846325,0.008947415,0.093075209
15_203,15,203,0.044771034,0.01272642,0.076788055,-0.005219888,0.093139398
15_204,15,204,0.05079828,0.023934806,0.077911814,0.01018006,0.091218674
15_205,15,205,0.044674206,0.013463947,0.077086842,-0.002361554,0.093880341
15_211,15,211,0.0323204,NA,NA,NA,NA
15_212,15,212,0.055218916,0.031572389,0.079927822,0.01846098,0.092275221
15_213,15,213,0.031990075,NA,NA,NA,NA
15_214,15,214,0.057320255,0.032237836,0.082082398,0.01984525,0.095468091
15_221,15,221,0.080068554,0.052291429,0.107438051,0.037339759,0.121968591
15_222,15,222,0.058763444,0.032752327,0.084855665,0.018391561,0.098442863
15_231,15,231,0.051038731,0.029341192,0.072954909,0.018182501,0.083821431
15_232,15,232,0.058850058,0.035170309,0.083305956,0.022501748,0.095429206
15_241,15,241,0.057403957,0.033509433,0.082148651,0.020760489,0.095517341
15_242,15,242,0.046249108,0.014978092,0.076618822,-0.002005738,0.092917767
16_5,16,5,0.034416159,0.022717127,0.045881535,0.016922839,0.052330695
16_9,16,9,0.075272527,0.062386496,0.088180949,0.055557172,0.095378632
16_10,16,10,0.079400752,0.057550851,0.10019307,0.047025203,0.111724099
16_11,16,11,0.077170889,0.053277266,0.102484151,0.039809035,0.115646782
16_13,16,13,0.056782007,0.040344074,0.072127519,0.032182951,0.080605879
16_14,16,14,0.064378816,0.048194637,0.080227658,0.040761016,0.089188458
16_15,16,15,0.034795568,0.027201563,0.042364219,0.02307679,0.046170636
16_16,16,16,0.112862602,0.096008276,0.13024303,0.086601509,0.138955349
16_18,16,18,0.104494009,0.091257357,0.117195988,0.084562392,0.123298552
16_20,16,20,0.058307803,0.048133167,0.068660177,0.042451159,0.074212865
16_22,16,22,0.062219906,0.046899786,0.07717859,0.039168268,0.084584063
16_24,16,24,0.035328345,0.026934154,0.043988236,0.022238268,0.048540282
16_28,16,28,0.033363529,0.024473558,0.042656133,0.019319972,0.047427089
16_31,16,31,0.053801336,0.039095584,0.06816756,0.031466712,0.076589375
16_33,16,33,0.105619814,0.095837934,0.115766476,0.090304225,0.120703273
16_122,16,122,0.089904457,0.064492982,0.114828988,0.049834801,0.12918114
16_134,16,134,0.071863814,0.054964321,0.088912588,0.045302571,0.098807416
16_143,16,143,0.111518693,0.074393523,0.14858861,0.053151437,0.167852683
