Group,Br_MCR,NB_MCR,Exposure,Vulnerability,Hazard,Norm_Exposure,Norm_Vulnerability,Norm_Hazard,Risk,Norm_Risk
24_231,24,231,0.031839232,9.555555556,1.107527042,6.414407414,35.69230769,70.74575809,16196.88781,0.033826207
24_232,24,232,0.031196594,10.125,0.7162702,6.196306699,40.02884615,29.90930916,7418.436087,0.01536394
24_241,24,241,0.049266559,8.75,0.901160649,12.32894825,29.55769231,49.20678484,17931.70323,0.037474758
24_242,24,242,0.045324081,9.666666667,0.702848814,10.99093758,36.53846154,28.50848573,11448.77838,0.023840293
28_5,28,5,0.02213581,7.8,0.94481893,3.121229533,22.32307692,53.76350813,3745.996459,0.007640305
28_9,28,9,0.046226224,7.5,1.107270547,11.29710986,20.03846154,70.7189871,16009.13102,0.033431329
28_10,28,10,0.051978984,7.285714286,1.095216523,13.24949933,18.40659341,69.46087861,16939.99037,0.035389052
28_11,28,11,0.060446966,7.181818182,1.197719756,16.12338966,17.61538462,80.15939584,22766.84837,0.04764372
28_13,28,13,0.052010611,7.681818182,1.223552614,13.26023323,21.42307692,82.85563543,23537.21435,0.049263903
28_14,28,14,0.044249254,7.964285714,1.376042682,10.62615951,23.57417582,98.77140282,24742.52805,0.051798841
28_15,28,15,0.026302167,7.428571429,1.112312165,4.535221022,19.49450549,71.24519331,6298.922274,0.013009452
28_16,28,16,0.070485616,7.428571429,1.23449047,19.53033824,19.49450549,83.9972466,31980.63172,0.067021548
28_18,28,18,0.031818678,7.681818182,1.234052783,6.407431564,21.42307692,83.95156419,11523.77091,0.023998013
28_20,28,20,0.03898013,8.032258065,1.258509141,8.837907664,24.09181141,86.50413505,18418.56465,0.038498693
28_22,28,22,0.032345057,7.84,1.197054032,6.586075728,22.62769231,80.08991254,11935.61507,0.024864176
28_24,28,24,0.091299173,8.090909091,1.358777227,26.59410807,24.53846154,96.96936434,63280.12215,0.132848595
28_28,28,28,0.266922303,7.933333333,1.387813957,86.19763563,23.33846154,100,201172.0204,0.422853842
28_31,28,31,0.078260615,8.125,1.188590095,22.16904162,24.79807692,79.20651046,43543.74741,0.091340339
28_33,28,33,0.052400674,7.666666667,1.122270233,13.39261382,21.30769231,72.28454157,20627.5284,0.043144442
28_122,28,122,0.066294569,9.25,1.114402529,18.1079676,33.36538462,71.4633698,43176.68899,0.090568366
28_134,28,134,0.052931206,8.2,1.059565364,13.57266749,25.36923077,65.73987863,22636.08972,0.047368717
28_135,28,135,0.087660318,9,1.093568885,25.35914232,31.46153846,69.28891053,55281.30026,0.116025995
28_136,28,136,0.126430121,10.33333333,1.212454171,38.51695924,41.61538462,81.69726333,130952.386,0.275172487
28_142,28,142,0.088623993,9,1.133715408,25.68619724,31.46153846,73.47910294,59380.46776,0.124647096
28_143,28,143,0.045776357,7.666666667,1.126568002,11.14443241,21.30769231,72.7331104,17271.35981,0.036085967
28_144,28,144,0.063129253,12,1.186939757,17.03371264,54.30769231,79.03426052,73111.56146,0.153525437
28_151,28,151,0.10762433,8.714285714,1.089269769,32.13459095,29.28571429,68.8402012,64784.44282,0.136012384
28_152,28,152,0.063976994,10.25,1.014311344,17.32142158,40.98076923,61.01660407,43312.34234,0.090853663
28_156,28,156,0.085374498,9,1.145357953,24.58337346,31.46153846,74.69426431,57770.84085,0.121261834
28_157,28,157,0.103017848,9.285714286,1.117855578,30.57122897,33.63736264,71.82377307,73858.93667,0.155097268
28_162,28,162,0.070060742,8.125,1.081646149,19.38614299,24.79807692,68.04450495,32711.6517,0.068558982
28_171,28,171,0.057636103,8.666666667,1.090287241,15.16943021,28.92307692,68.9463972,30249.99714,0.06338179
28_173,28,173,0.184455824,8.666666667,1.082228983,58.20990389,28.92307692,68.10533678,114662.7939,0.240913279
28_181,28,181,0.03929644,7.5,0.959209222,8.945257952,20.03846154,55.26545868,9906.289665,0.020596232
28_184,28,184,0.032044419,5,1.084074437,6.484044351,1,68.29795145,442.8469463,0.000693336
28_192,28,192,0.054226256,10,0.875627534,14.01218549,39.07692308,46.54183015,25484.12313,0.053358515
28_201,28,201,0.045836223,9,1.093128158,11.16474994,31.46153846,69.24291081,24322.27937,0.050915001
28_202,28,202,0.039607742,6,1.013823668,9.050908557,8.615384615,60.96570411,4753.926266,0.009760117
28_203,28,203,0.040043893,6,0.896294039,9.198930986,8.615384615,48.69884457,3859.496827,0.007879011
28_204,28,204,0.062732543,6,0.94620741,16.89907583,8.615384615,53.9084272,7848.637777,0.016268712
28_205,28,205,0.040210075,6,1.065738489,9.255330129,8.615384615,66.38418301,5293.357174,0.010894613
28_211,28,211,0.031867091,5,0.878866266,6.42386215,1,46.87986466,301.1497882,0.000395328
28_212,28,212,0.046276409,9,1.186144826,11.31414163,31.46153846,78.95129166,28103.52563,0.058867471
28_213,28,213,0.032348902,5,1.105849165,6.587380663,1,70.57063393,464.8756293,0.000739665
28_214,28,214,0.039021753,7.5,1.126150622,8.852033983,20.03846154,72.68954746,12893.75498,0.026879274
28_221,28,221,0.042179019,9.666666667,1.056846124,9.923556661,36.53846154,65.45606476,23733.81227,0.049677375
28_222,28,222,0.064785684,12,1.134229405,17.59587738,54.30769231,73.53275015,70267.2706,0.14754351
28_231,28,231,0.038928585,7.5,1.136563772,8.820414284,20.03846154,73.77639375,13039.79554,0.027186417
28_232,28,232,0.053872718,10,0.74530693,13.89220074,39.07692308,32.93994482,17881.92534,0.037370068
28_241,28,241,0.038842582,7.5,0.930197379,8.791226281,20.03846154,52.23742049,9202.282408,0.019115609
28_242,28,242,0.03908278,7.5,0.731885544,8.872745439,20.03846154,31.53912139,5607.534932,0.011555371
31_5,31,5,0.029834335,8,0.745595069,5.733979216,23.84615385,32.97001859,4508.101109,0.009243113
31_9,31,9,0.041344687,8,0.908046686,9.6403985,23.84615385,49.92549756,11477.19419,0.023900056
31_11,31,11,0.112279389,9,0.998495895,33.71443966,31.46153846,59.3659063,62969.90005,0.132196156
31_13,31,13,0.04517427,7.6,1.024328753,10.94009445,20.8,62.06214589,14122.48735,0.029463464
31_14,31,14,0.053493465,8.142857143,1.176818821,13.76348857,24.93406593,77.97791328,26760.43934,0.05604278
31_15,31,15,0.049652034,8.5,0.913088304,12.45977178,27.65384615,50.45170377,17383.66992,0.03632217
31_18,31,18,0.028823561,7.6,1.034828922,5.39093933,20.8,63.15807466,7082.012052,0.014656395
31_20,31,20,0.024078977,8.875,1.05928528,3.780707656,30.50961538,65.71064551,7579.587364,0.015702863
31_22,31,22,0.059167229,8.142857143,0.99783017,15.68906838,24.93406593,59.296423,23196.30204,0.048546919
31_24,31,24,0.041772147,8.857142857,1.159553365,9.785471004,30.37362637,76.1758748,22641.0118,0.047379069
31_28,31,28,0.046165309,8.142857143,1.188590095,11.27643637,24.93406593,79.20651046,22270.28923,0.046599389
31_31,31,31,0.307591279,9.055555556,0.989366234,100,31.88461538,58.41302092,186247.6706,0.391465923
31_33,31,33,0.055180236,8.1,0.923046371,14.33595028,24.60769231,51.49105203,18164.73803,0.037964862
31_122,31,122,0.044877826,8.5,0.915178668,10.83948623,27.65384615,50.66988026,15188.47318,0.031705375
31_134,31,134,0.034904063,9,0.860341503,7.45455918,31.46153846,44.94638909,10541.36205,0.021931874
31_142,31,142,0.015885559,10,0.934491546,1,39.07692308,52.6856134,2058.791662,0.004091886
31_143,31,143,0.032091297,8,0.92734414,6.499953991,23.84615385,51.93962086,8050.584248,0.016693433
31_145,31,145,0.074014184,10,0.96372264,20.72787468,39.07692308,55.73653529,45145.56605,0.094709179
31_151,31,151,0.037169729,9.1,0.890045908,8.223488009,32.22307692,48.04671166,12731.7101,0.026538472
31_152,31,152,0.043847374,10.5,0.815087483,10.4897681,42.88461538,40.22311453,18094.35482,0.037816836
31_156,31,156,0.139456192,10.5,0.946134092,42.93778806,42.88461538,53.90077477,99251.29801,0.208500826
31_157,31,157,0.047198809,9.5,0.918631716,11.62718876,35.26923077,51.03028353,20926.60092,0.043773431
31_161,31,161,0.092426526,11,0.779650097,26.97671284,46.69230769,36.5244265,46006.34939,0.096519523
31_162,31,162,0.065653879,8.5,0.882422287,17.89052812,27.65384615,47.25101541,23377.05772,0.048927072
31_171,31,171,0.04056499,9.636363636,0.891063379,9.375782497,36.30769231,48.15290767,16391.87701,0.034236296
31_173,31,173,0.052231286,8,0.883005121,13.33512656,23.84615385,47.31184724,15044.7643,0.031403136
31_184,31,184,0.073224028,12,0.884850576,20.45970888,54.30769231,47.50446191,52783.1375,0.110772022
31_191,31,191,0.060002444,13,0.889899804,15.97252631,61.92307692,48.03146245,47506.38133,0.099674292
31_192,31,192,0.060036056,13,0.676403673,15.98393359,61.92307692,25.74834061,25485.04707,0.053360458
31_201,31,201,0.041533906,9.5,0.893904297,9.704616311,35.26923077,48.44942127,16582.99428,0.034638241
31_202,31,202,0.054882297,9.166666667,0.814599807,14.23483484,32.73076923,40.17221457,18716.92148,0.039126178
31_203,31,203,0.056544547,8.75,0.697070177,14.79897445,29.55769231,27.90535503,12206.45899,0.025433798
31_204,31,204,0.060137181,9.166666667,0.746983549,16.01825389,32.73076923,33.11493766,17361.8231,0.036276223
31_205,31,205,0.0537647,8.6,0.866514628,13.85554122,28.41538462,45.59069348,17949.53622,0.037512263
31_212,31,212,0.0431305,9.285714286,0.986920965,10.24647324,33.63736264,58.15780212,20044.92026,0.041919138
31_213,31,213,0.048668333,7.5,0.906625304,12.12592023,20.03846154,49.77714439,12095.08879,0.025199571
31_214,31,214,0.037532953,9,0.926926761,8.346760219,31.46153846,51.89605792,13628.00433,0.028423499
31_221,31,221,0.039769146,9.666666667,0.857622263,9.105686244,36.53846154,44.66257522,14859.58565,0.031013681
31_222,31,222,0.037888165,9,0.935005544,8.467313325,31.46153846,52.73926061,14049.45971,0.029309877
31_231,31,231,0.036894543,10,0.93733991,8.130094665,39.07692308,52.98290421,16832.62013,0.035163238
31_232,31,232,0.036329899,10,0.546083069,7.938463848,39.07692308,12.14645528,3767.960893,0.007686499
31_241,31,241,0.045441317,9,0.730973518,11.03072558,31.46153846,31.44393095,10912.41491,0.022712249
