dataset_key,duplicate_keys,zotero_keys,data_source,study_code,tech_type,species_code,species,bird_id,age,sex,date_time,year,yday,week,week_date,season,x_coord,y_coord,grid_id,outlier
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17768,,,9/19/2013,2013,262,38,1000-09-22,fall,-62.34769,44.91418,6976373,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17771,,,9/19/2013,2013,262,38,1000-09-22,fall,-62.92378,44.72801,6984569,ddd
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17771,,,9/19/2013,2013,262,38,1000-09-22,fall,-63.38497,44.64854,6992765,
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17774,,,9/19/2013,2013,262,38,1000-09-22,fall,-60.96824,45.31955,6947682,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17774,,,9/19/2013,2013,262,38,1000-09-22,fall,-61.5423,45.0999,6959978,ddd;nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17774,,,9/19/2013,2013,262,38,1000-09-22,fall,-62.34769,44.91418,6976373,ddd;nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17785,,,9/19/2013,2013,262,38,1000-09-22,fall,-60.96824,45.31955,6947682,
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17787,,,9/19/2013,2013,262,38,1000-09-22,fall,-60.9681,45.3197,6947682,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17787,,,9/19/2013,2013,262,38,1000-09-22,fall,-60.96824,45.31955,6947682,ddd;nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17789,,,9/19/2013,2013,262,38,1000-09-22,fall,-60.9681,45.3197,6947682,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17789,,,9/19/2013,2013,262,38,1000-09-22,fall,-60.96824,45.31955,6947682,ddd;nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17762,,,9/20/2013,2013,263,38,1000-09-22,fall,-62.34769,44.91418,6976373,ddd;nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17762,,,9/20/2013,2013,263,38,1000-09-22,fall,-62.55985,44.80572,6980471,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17762,,,9/20/2013,2013,263,38,1000-09-22,fall,-62.92378,44.72801,6984569,ddd;nmg
